epc,timestamp,location_id,latitude,longitude,temperature,humidity,signal_strength,movement_speed,epcFake,epcDup,locErr,evtOrderErr,jump,epcFake_ai_score,epcFake_flagged,epcDup_ai_score,epcDup_flagged,locErr_ai_score,locErr_flagged,evtOrderErr_ai_score,evtOrderErr_flagged,jump_ai_score,jump_flagged,overall_risk_score,needs_review
SUSPICIOUS_026,2025-01-17 04:00:00,UNKNOWN_LOC,35.53517647357078,-79.62599949412548,-11.301099090635647,68.71948312283762,-85.46817335205604,159.6882651676409,1,0,1,1,1,0.6144523968559993,True,0.31845886880675445,False,0.8679103420369968,True,0.46817242360465544,False,0.9488831705061608,True,0.9488831705061608,True
SUSPICIOUS_038,2025-01-18 04:00:00,UNKNOWN_LOC,35.32639137682726,-79.00756300592296,-18.268680769500946,67.44818757494123,-77.8996343875811,176.75845657513526,1,0,1,0,0,0.6758531387817629,True,0.25374791394928453,False,0.8402842751724994,True,0.42480692331472536,False,0.9473213102792203,True,0.9473213102792203,True
SUSPICIOUS_018,2025-01-16 12:00:00,UNKNOWN_LOC,35.715574730988806,-79.48747800756178,17.686277702157728,75.4893471010654,-84.7582446779839,164.1434512855767,0,1,1,0,0,0.843739034933552,True,0.3516297731545057,False,0.8554389059027422,True,0.26810622952204627,False,0.9467014844547333,True,0.9467014844547333,True
SUSPICIOUS_037,2025-01-18 02:00:00,UNKNOWN_LOC,35.01421552291747,-79.33818639921805,-37.29426556658152,86.46246319854117,-85.61021662190036,197.12627733820273,1,0,0,0,1,0.720335749053507,True,0.24734584932531495,False,0.7653775910421554,True,0.3472581326900036,False,0.9434175175524945,True,0.9434175175524945,True
SUSPICIOUS_004,2025-01-15 08:00:00,FLAGGED_SUPPLIER,35.454214726460094,-79.13551690569409,-13.089968411269956,73.38393650781303,-95.88356762035964,149.67607923762912,1,0,0,0,1,0.6899887581413918,True,0.3174003285241557,False,0.7258413869252258,True,0.49596848513277314,False,0.9433093853416266,True,0.9433093853416266,True
SUSPICIOUS_013,2025-01-16 02:00:00,UNKNOWN_LOC,35.22204239554166,-79.24335978883406,-4.212656482031172,101.89474213269972,-59.292385081921196,191.56548636056766,0,0,1,0,0,0.6849376217359063,True,0.30224529963420166,False,0.8782822973986542,True,0.3638256365751178,False,0.9414360509311793,True,0.9414360509311793,True
SUSPICIOUS_029,2025-01-17 10:00:00,FLAGGED_SUPPLIER,35.466713729508946,-79.74964013484089,6.796691303462424,129.9969066956315,-58.68625157179195,170.27677245220082,1,0,0,0,1,0.5491988866236439,True,0.2635604612362878,False,0.8007869303946542,True,0.3755932225860248,False,0.9359258556115573,True,0.9359258556115573,True
SUSPICIOUS_041,2025-01-18 10:00:00,FLAGGED_SUPPLIER,35.06303336725492,-79.69932690422246,-13.058885135904777,92.78576873664514,-73.54102187979942,170.11189376119833,0,0,1,0,1,0.733600743188295,True,0.2239223731897545,False,0.8288835613255462,True,0.39839501142047373,False,0.9349293641111781,True,0.9349293641111781,True
SUSPICIOUS_028,2025-01-17 08:00:00,FLAGGED_SUPPLIER,35.91323030012322,-79.27512159073358,-11.517039738269215,104.83585850956956,-83.02782909206532,157.00075556063797,0,1,1,0,1,0.8731039324235146,True,0.37664078121126854,False,0.9323458553525791,True,0.4514948011488843,False,0.9289785937570012,True,0.9323458553525791,True
SUSPICIOUS_035,2025-01-17 22:00:00,FLAGGED_SUPPLIER,35.985406593457874,-79.88880405126815,-1.6199757250724787,134.38400409777807,-66.27087266013214,120.13439098442672,1,1,1,0,1,0.5123067039208571,True,0.3430621416423947,False,0.9315213972467121,True,0.3494296281125888,False,0.8791792229312081,True,0.9315213972467121,True
